peak_date,trough_date,depth,duration_days,anchor_factor_move
2026-06-22,2026-07-29,-0.47808976301610884,37,-0.02314054220706152
2019-08-27,2020-03-18,-0.40675698696458784,204,-0.15870211976893944
2022-11-07,2023-05-01,-0.35436937068146934,175,0.11335488047097653
2025-02-14,2025-03-10,-0.3399703893789471,24,-0.08060939935780798
2021-02-08,2021-05-13,-0.2929620218738981,94,0.061679332135365916
2024-07-10,2024-09-06,-0.2836029927069168,58,-0.027814770237761022
2018-09-04,2018-11-19,-0.25605255297539786,76,-0.06886391740214748
2022-06-14,2022-08-04,-0.20678732102451214,51,0.10922420400255795
2020-10-14,2020-11-10,-0.18914421610094878,27,0.011167520346682114
2026-06-03,2026-06-10,-0.15074523742074408,7,-0.04494652583696357
2017-11-21,2017-12-04,-0.15045161009536123,13,0.022609318116936228
2017-02-08,2017-05-04,-0.1396286901590419,85,0.047430203536769966
2025-09-29,2025-11-21,-0.1394612638696333,53,-0.00421566978294885
2024-03-25,2024-04-19,-0.13812406096580276,25,-0.04997988321501323
2020-09-01,2020-09-08,-0.12644454289713425,7,-0.04609114861538721
2020-08-03,2020-08-11,-0.12158629366799578,8,0.01923317570320804
2025-08-08,2025-08-22,-0.11875769002990322,14,0.02065627591441288
2024-12-06,2025-01-13,-0.11503803278717983,38,-0.038428607320936226
2025-01-22,2025-01-27,-0.11339789364291575,5,-0.006102284449963191
2026-03-19,2026-03-30,-0.11186678018702356,11,-0.04193047170748654
2026-01-28,2026-02-05,-0.10934574069572778,8,-0.025694082722464318
2026-05-13,2026-05-18,-0.10800103461207966,5,0.0006367265639486419
2022-08-29,2022-09-28,-0.10300816757605136,30,-0.08205550290587349
2024-02-15,2024-02-21,-0.09591681083080117,6,-0.0027278340467992157
2016-04-06,2016-04-28,-0.09515388464957919,22,0.01596533137516043
2018-06-18,2018-07-30,-0.09360979281638493,42,0.010175225062023063
2026-02-25,2026-03-06,-0.09327416584190262,9,-0.0217792144642599
2025-12-10,2025-12-17,-0.07523529748102786,7,-0.017041396532814335
2016-07-06,2016-09-12,-0.075025189497966,68,0.0380502007543686
2025-06-30,2025-07-24,-0.06767987182978041,24,0.03172813607487335
2016-12-27,2017-01-17,-0.06116540524032921,21,0.0023926044203279595
2024-05-29,2024-06-03,-0.061132219811965594,5,-0.0037938354994254686
2022-10-13,2022-10-18,-0.060770374165245555,5,0.04086269322541525
2018-03-20,2018-04-06,-0.059530553583940105,17,-0.039816601683388964
2018-04-18,2018-04-30,-0.05862736656034495,12,-0.021022380192243784
2020-07-09,2020-07-16,-0.058425632098898395,7,0.014580543679584279
2024-06-18,2024-06-24,-0.058374841429702395,6,-0.004768890846774787
2020-10-01,2020-10-08,-0.057331548836064616,7,0.02654601672260215
2026-05-06,2026-05-07,-0.05376235831328524,1,0.01079070056866982
2025-06-02,2025-06-10,-0.05330163507214025,8,0.023227399268476612
2024-03-08,2024-03-19,-0.05065617344745377,11,0.004860672824109402
2016-11-29,2016-12-01,-0.04935076924967441,2,-0.0041272889008455715
2016-05-13,2016-06-06,-0.04905535346676282,24,0.023189422563188566
2024-05-06,2024-05-13,-0.048193710349707986,7,0.018815095303265972
2016-03-04,2016-03-18,-0.04610682908514818,14,0.02830165346421709
2026-04-10,2026-04-21,-0.04106281390596267,11,0.03554894150131993
2024-11-11,2024-11-14,-0.04010281915409253,3,-0.008091146316015263
2024-05-15,2024-05-17,-0.03898806096097296,2,0.011752599497684368
2020-08-21,2020-08-24,-0.038790237326829846,3,0.013716445677363964
2025-09-19,2025-09-26,-0.03350049794347443,7,0.0021063109283558923
2025-02-07,2025-02-11,-0.03198804483492068,4,-0.001665959675605344
2024-11-22,2024-11-29,-0.031715283588132914,7,0.014957566944132417
2019-08-15,2019-08-19,-0.03080582546612154,4,0.029693530722706418
2026-04-27,2026-04-28,-0.028479890449797818,1,-0.003151587501851294
2020-09-22,2020-09-24,-0.027745442557610356,2,-0.010612930422542854
2018-06-06,2018-06-11,-0.025494778622323966,5,0.012576923619075142
2020-08-26,2020-08-28,-0.025321718134853288,2,0.018772399712220444
2026-05-11,2026-05-12,-0.0226983849093092,1,0.0007591600277150334
2024-03-04,2024-03-05,-0.020710893357857585,1,-0.011055811517701963
2017-11-08,2017-11-09,-0.02042492513558769,1,-0.0019329738073641245
2017-10-24,2017-10-25,-0.016595517013592853,1,-0.0032016660095579574
2022-06-01,2022-06-02,-0.014531834887982709,1,0.010800934991587186
2024-11-19,2024-11-20,-0.014498105803298245,1,0.003995646389107321
2016-06-27,2016-06-29,-0.014421642473171903,2,0.016827349363057076
2022-05-25,2022-05-31,-0.014112334210118704,6,0.04833805362299426
2017-02-02,2017-02-03,-0.013734738296022453,1,0.007556621533016283
2024-02-27,2024-02-28,-0.013723462560872313,1,0.000533590013242824
2017-10-31,2017-11-01,-0.013514269218367403,1,0.002882052624047615
2016-03-01,2016-03-03,-0.012736658218465147,2,0.032134727992939816
2025-05-28,2025-05-29,-0.01196914853434572,1,-0.0018607426951556816
2017-10-16,2017-10-17,-0.011905345766158204,1,0.0020394990194454454
2025-09-15,2025-09-16,-0.010939335519158266,1,0.003939841730462801
2018-05-21,2018-05-22,-0.01087868337624065,1,0.004717701922421158
2024-12-04,2024-12-05,-0.01083941477477679,1,0.004553344505079826
2017-11-16,2017-11-17,-0.010261144725226878,1,0.0055372025195326025
2018-03-12,2018-03-13,-0.010243782915292265,1,-0.007709697681425265
2024-06-13,2024-06-14,-0.010072099059441286,1,0.0026231205118647516
2025-06-26,2025-06-27,-0.007607965359682112,1,0.01283120782635172
2025-06-18,2025-06-20,-0.007325324336413086,2,-0.002498936721846645
2019-08-09,2019-08-13,-0.00713481826235185,4,-0.003644404476750074
2017-11-06,2017-11-07,-0.00637612290919054,1,0.0008511485672659802
2018-03-15,2018-03-19,-0.006285125713342721,4,-0.013536856212832071
2020-07-30,2020-07-31,-0.004348958942810066,1,0.004305885542641441
