Ticker,variance_contribution,absolute_share_of_portfolio_variance
CVNA,8027847176.903017,0.06788921227840393
LITE,3974472456.666367,0.03361097917778066
APP,3845647011.749061,0.03252153915928933
PLTR,3563028253.3721876,0.030131512984338103
AMD,3509599006.440355,0.02967967709273487
TTD,3374588852.7794633,0.028537934757629762
SMCI,3280291289.1609325,0.027740487176383652
WDC,3126668222.1799793,0.026441340745801897
NVDA,3109275565.3047547,0.02629425601079538
MU,2518105412.1963267,0.021294898756897388
VRT,2317004628.2968254,0.01959424682535756
HOOD,2272228632.9961824,0.01921558901300059
MRNA,2144535849.0640786,0.018135727585178632
STX,2103953352.9109309,0.017792532998209497
TSLA,2074784749.0009923,0.017545862440204375
COIN,1990791208.3971736,0.016835553040634166
VST,1936070230.399152,0.01637279334808821
XYZ,1915772423.104572,0.01620114058516909
CIEN,1875456494.5796256,0.015860200284548303
COHR,1817977790.71346,0.015374119291441628
LRCX,1483297334.1926947,0.012543822194662968
TER,1448451886.5237458,0.012249144189264526
DVN,1388948778.7874846,0.011745943390430913
BLDR,1337150922.1766918,0.011307903701143622
RDDT,1325662647.9018652,0.011210750644568236
FIX,1155264931.9737196,0.009769745795636392
AXON,1014911044.3298156,0.008582813027437861
ECHO,859368413.4563904,0.0072674333928966495
OXY,803041397.6084735,0.0067910918966471575
INTC,799700670.2087724,0.006762840318533523
CRWD,790492564.3553717,0.006684969995495723
PODD,761801990.1643275,0.006442341998384732
DXCM,729540395.2319707,0.006169514898100096
RCL,725230804.8855438,0.006133069922577479
TPL,718777906.2047904,0.006078499600211465
GEV,699383525.7344638,0.005914486860090261
ALGN,683578862.6950977,0.005780831335710673
GNRC,680133343.4830707,0.005751693563149729
DDOG,676834106.4520494,0.005723792857241898
FANG,663943182.1452768,0.005614777989688709
EQT,614611069.946517,0.005197590397124738
CRM,614526866.4798284,0.005196878312440186
UAL,613327397.3045794,0.005186734743975882
COP,601220059.5583832,0.005084346444315332
CF,598362468.44472,0.005060180611876654
APA,590572990.7363257,0.004994307222158355
GLW,589304324.3402733,0.004983578472547889
ADBE,577111330.5132263,0.004880465803859419
GIS,575875161.6464185,0.004870011876578376
EFX,563748656.9392146,0.00476746148739919
NFLX,562659517.7599677,0.004758250948220848
TKO,546510528.6423191,0.004621683556474281
TRGP,535124868.86386037,0.004525398281406593
ANET,507311693.3140411,0.004290190194178576
CEG,505398595.5989335,0.004274011672835526
FCX,494360807.61355627,0.004180668250232858
FICO,461538404.94667804,0.003903098559002317
APO,459340646.0547348,0.0038845127393343543
EOG,449674372.94152695,0.0038027678265498085
ACN,432145384.52231157,0.00365453017458732
DELL,416768163.6915596,0.003524489406966037
AJG,408152555.25195444,0.0034516296654469405
KLAC,406630106.05117047,0.0034387547470911845
VEEV,401561895.7982849,0.0033958943395438566
VTR,400687918.9203237,0.0033885033665361696
INTU,397544354.9089297,0.003361919142923357
CCL,392574499.3387997,0.0033198904928558393
ARES,373604152.9734556,0.0031594636881332647
FTNT,366070123.69559646,0.003095750552882276
LULU,343509505.93361366,0.0029049618476884574
ERIE,342052375.272953,0.0028926393095834
NCLH,335662616.7285833,0.002838602945329414
MOS,321209671.1713201,0.0027163785098906993
MPC,320676096.16233104,0.002711866218331895
OMC,319779882.9339605,0.0027042871988554643
XOM,317026247.8085393,0.0026810004925383775
META,314865049.76964533,0.002662723857569506
FSLR,310590053.5771101,0.0026265714349325378
BIIB,303969198.46913505,0.0025705807529993927
PAYX,293422783.9362627,0.0024813927354374503
WELL,292964414.6857351,0.002477516437512835
NRG,291513580.1619891,0.0024652471440406304
CMG,291201245.4225843,0.0024626058182956184
OKE,289946536.83437437,0.002451995105882259
BR,289940819.0596965,0.002451946752293767
HAL,289864335.8359934,0.0024512999555006422
UDR,288058995.262709,0.002436032705550102
MGM,-268973156.5156445,0.002274629214718988
VRSK,268893374.081487,0.0022739545174447063
AMAT,266887880.7023904,0.00225699463234274
WBD,265426280.08765745,0.002244634293111901
SLB,261275812.90732732,0.0022095349767882588
NEM,259659806.22325772,0.0021958688694993997
TPR,254552266.04601014,0.0021526758600072327
REG,250937795.0443775,0.0021221093103835713
FDX,-242055830.82967934,0.002046997074097398
EXE,241358016.2141924,0.0020410958550634746
SWKS,240625149.25462225,0.00203489820836023
CHTR,238739615.86606038,0.0020189527906594065
BXP,238221466.61476055,0.0020145709503305823
RL,236167358.45850822,0.00199719994393377
BALL,229303183.2695639,0.0019391515735239376
FIS,218735058.34122565,0.00184977995734409
NUE,209326485.6102766,0.0017702143431398327
AVGO,208959903.73341885,0.001767114264836522
VLO,208544468.93529522,0.0017636010513215966
USB,206922230.04916668,0.0017498822400787112
REGN,206701666.9478552,0.0017480170008837253
BEN,206277639.3227004,0.0017444311202831498
IQV,204960530.31469682,0.0017332927053298334
ROP,203424539.85601828,0.00172030327242099
BA,200536255.8158236,0.0016958778786629655
AMZN,198664311.6670072,0.001680047381284048
TYL,195151714.46373254,0.0016503423492964264
KMI,195085194.31525734,0.0016497798073868573
WSM,192978353.79411933,0.001631962858431003
ADP,186127037.7405012,0.0015740232340583878
ALB,182067860.4786906,0.0015396959305198268
ADSK,177626181.75724494,0.001502133921310152
TTWO,176351521.80242532,0.0014913544858838647
ZBRA,172078044.36435562,0.0014552149069199302
MRVL,169441992.9426131,0.0014329225724242821
WDAY,167045141.7949649,0.0014126530863744495
IDXX,165517692.27030638,0.001399735881706872
KKR,161530435.29473576,0.0013660167875016573
MKC,161514062.79299644,0.0013658783299274637
BX,159236807.757362,0.00134662023406198
NTAP,154139650.02122936,0.0013035150259109807
HPE,153654820.57442293,0.0012994149616586661
PYPL,153138018.4768953,0.001295044513824791
MRK,149787276.8880088,0.0012667082485714521
ROST,149751515.97500977,0.001266405828737048
CNC,148587068.95483783,0.0012565584326422576
PNR,142099389.76547104,0.0012016939814419023
HRL,141549040.69200984,0.001197039836407487
WMB,141057489.460646,0.0011928829279416926
HST,140391151.81252536,0.0011872479006366753
ESS,138238567.03627113,0.0011690441055715627
AAPL,136717603.94740924,0.0011561817548401683
UBER,136270325.26092157,0.0011523992466501854
ADM,135320199.84414816,0.001144364307183971
AKAM,-133596513.02825056,0.0011297875797541517
SW,133047152.72035068,0.0011251417964278762
STLD,131296357.46655454,0.0011103358206760007
TGT,130890612.70764124,0.00110690455305696
WST,124837856.43673328,0.0010557181208429333
CLX,124542350.98381233,0.0010532191155703248
VTRS,123738987.04584034,0.0010464252960418823
PSX,122534471.05143937,0.0010362390480684667
IBKR,121867695.16804664,0.0010306003147328336
IVZ,121676987.54104994,0.0010289875547628208
CPRT,120508039.35406365,0.0010191020935849983
GM,117755768.00358063,0.0009958269203233176
HWM,116685479.23319238,0.0009867757936724351
MNST,116515225.81495848,0.000985336009107918
WFC,116097977.53658782,0.0009818074595081445
TROW,115701137.91325487,0.0009784515000790157
ROL,-113514234.35614805,0.0009599574808794504
