!ModelVer:100
!ReleaseDateTime:20130501 23:34:26
!Model|ModelVer|Factor|FactorDisplayName|FactorGroup|FactorNum|StartDate|EndDate
USE4L|100|USE4L_GROWTH|US Growth|1-Risk Indices|1|19950630|20751231
USE4L|100|USE4L_SIZE|US Size|1-Risk Indices|2|19950630|20751231
USE4L|100|USE4L_SIZENL|US Non-linear Size|1-Risk Indices|3|19950630|20751231
USE4L|100|USE4L_DIVYILD|US Dividend Yield|1-Risk Indices|4|19950630|20751231
USE4L|100|USE4L_BTOP|US Book-to-Price|1-Risk Indices|5|19950630|20751231
USE4L|100|USE4L_EARNYILD|US Earnings Yield|1-Risk Indices|6|19950630|20751231
USE4L|100|USE4L_BETA|US Beta|1-Risk Indices|7|19950630|20751231
USE4L|100|USE4L_RESVOL|US Residual Volatility|1-Risk Indices|8|19950630|20751231
USE4L|100|USE4L_BETANL|US Non-linear Beta|1-Risk Indices|9|19950630|20751231
USE4L|100|USE4L_MOMENTUM|US Momentum|1-Risk Indices|10|19950630|20751231
USE4L|100|USE4L_LEVERAGE|US Leverage|1-Risk Indices|11|19950630|20751231
USE4L|100|USE4L_LIQUIDTY|US Liquidity|1-Risk Indices|12|19950630|20751231
USE4L|100|USE4L_OILGSDRL|US Oil and Gas Drilling|2-Industries|13|19950630|20751231
USE4L|100|USE4L_OILGSEQP|US Oil and Gas Equipment and Services|2-Industries|14|19950630|20751231
USE4L|100|USE4L_OILGSEXP|US Oil and Gas Exploration and Production|2-Industries|15|19950630|20751231
USE4L|100|USE4L_OILGSCON|US Oil Gas and Consumable Fuels|2-Industries|16|19950630|20751231
USE4L|100|USE4L_CHEM|US Chemicals|2-Industries|17|19950630|20751231
USE4L|100|USE4L_SPTYCHEM|US Specialty Chemicals|2-Industries|18|19950630|20751231
USE4L|100|USE4L_CNSTMATL|US Construction Materials|2-Industries|19|19950630|20751231
USE4L|100|USE4L_CONTAINR|US Containers and Packaging|2-Industries|20|19950630|20751231
