,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,ADBE,COST,CHTR",0.231601244,-0.014601546,0.091467967
Equal-weighted,"MSFT,GOOG,PEP,ADBE,COST,AMGN,CHTR",0.211414334,-0.014746903,0.092518151
Equal-weighted,"MSFT,AAPL,GOOG,PEP,ADBE,COST,CHTR",0.256204566,-0.014800963,0.113954195
Equal-weighted,"MSFT,GOOG,PEP,ADBE,PYPL,COST,CHTR",0.292297707,-0.014808821,0.117009336
Equal-weighted,"MSFT,CMCSA,PEP,ADBE,COST,AMGN,CHTR",0.201734024,-0.014824815,0.095332547
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,COST,AMGN,CHTR",0.222249279,-0.014832034,0.081005464
Equal-weighted,"MSFT,AAPL,CMCSA,PEP,ADBE,COST,CHTR",0.246524256,-0.014878876,0.116768591
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,PEP,COST,CHTR",0.267039511,-0.014886095,0.102441508
Equal-weighted,"MSFT,CMCSA,PEP,ADBE,PYPL,COST,CHTR",0.282617397,-0.014886733,0.119823732
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,PYPL,COST,CHTR",0.303132652,-0.014893952,0.105496649
Equal-weighted,"MSFT,GOOG,CSCO,PEP,ADBE,COST,CHTR",0.216919137,-0.014913167,0.089697096
Equal-weighted,"MSFT,GOOG,CMCSA,ADBE,COST,AMGN,CHTR",0.231450704,-0.014965238,0.090387103
Equal-weighted,"MSFT,GOOG,PEP,ADBE,COST,TXN,CHTR",0.241075743,-0.014977645,0.09261082
Equal-weighted,"MSFT,CSCO,CMCSA,PEP,ADBE,COST,CHTR",0.207238827,-0.01499108,0.092511491
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,PEP,COST,CHTR",0.227754082,-0.014998299,0.078184408
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,ADBE,COST,CHTR",0.276240936,-0.015019298,0.111823147
Equal-weighted,"MSFT,AAPL,PEP,ADBE,COST,AMGN,CHTR",0.226337347,-0.015024232,0.117818775
Equal-weighted,"MSFT,GOOG,CMCSA,ADBE,PYPL,COST,CHTR",0.312334076,-0.015027156,0.114878288
Equal-weighted,"MSFT,AAPL,GOOG,PEP,COST,AMGN,CHTR",0.246852602,-0.015031451,0.103491693
Equal-weighted,"MSFT,PEP,ADBE,PYPL,COST,AMGN,CHTR",0.262430487,-0.015032089,0.120873916
Equal-weighted,"MSFT,GOOG,PEP,PYPL,COST,AMGN,CHTR",0.282945742,-0.015039309,0.106546834
Equal-weighted,"MSFT,CMCSA,PEP,ADBE,COST,TXN,CHTR",0.231395433,-0.015055557,0.095425216
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,COST,TXN,CHTR",0.251910688,-0.015062776,0.081098133
Equal-weighted,"MSFT,AAPL,PEP,ADBE,PYPL,COST,CHTR",0.307220719,-0.01508615,0.142309961
Equal-weighted,"MSFT,AAPL,GOOG,PEP,PYPL,COST,CHTR",0.327735974,-0.015093369,0.127982878
Equal-weighted,"MSFT,AAPL,CMCSA,PEP,COST,AMGN,CHTR",0.237172292,-0.015109363,0.106306088
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,ADBE,COST,AMGN",0.212049955,-0.015115387,0.07922498
Equal-weighted,"MSFT,CMCSA,PEP,PYPL,COST,AMGN,CHTR",0.273265432,-0.015117221,0.109361229
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,ADBE,COST,CHTR",0.236955507,-0.015131502,0.087566048
Equal-weighted,"MSFT,CSCO,PEP,ADBE,COST,AMGN,CHTR",0.187051918,-0.015136436,0.093561676
Equal-weighted,"MSFT,GOOG,CSCO,PEP,COST,AMGN,CHTR",0.207567173,-0.015143655,0.079234593
Equal-weighted,"MSFT,GOOG,PEP,ADBE,COST,AVGO,CHTR",0.278008297,-0.015155973,0.094102112
Equal-weighted,"MSFT,AAPL,GOOG,ADBE,COST,AMGN,CHTR",0.256054026,-0.015164655,0.112873332
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,PEP,ADBE,COST",0.256840187,-0.015169447,0.100661024
Equal-weighted,"MSFT,AAPL,CMCSA,PEP,PYPL,COST,CHTR",0.318055664,-0.015171281,0.130797273
Equal-weighted,"MSFT,GOOG,ADBE,PYPL,COST,AMGN,CHTR",0.292147167,-0.015172512,0.115928473
Equal-weighted,"MSFT,AMZN,GOOG,PEP,ADBE,COST,CHTR",0.229282143,-0.015174462,0.107030651
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,ADBE,PYPL,COST",0.292933328,-0.015177305,0.103716165
Equal-weighted,"MSFT,AAPL,CSCO,PEP,ADBE,COST,CHTR",0.231842149,-0.015190497,0.11499772
