,Mean-Variance,Equally_weighted,Equally_Risk_contribution,Inverse_Volatility,S&P 500,Holdings,Mean Variance weighted,Equally-Risk contribution weighted,Inverse_weights
start,2015-07-06 00:00:00,2015-07-06 00:00:00,2015-07-06 00:00:00,2015-07-06 00:00:00,2015-02-20 00:00:00,,,,
end,2021-02-12 00:00:00,2021-02-12 00:00:00,2021-02-12 00:00:00,2021-02-12 00:00:00,2021-02-12 00:00:00,,,,
Annual_return,0.44721239683324093,0.8506986648659025,0.7322111299634624,0.6363339217901423,0.16434039118127441,,,,
yearly_sharpe,0.8403288701532687,0.9157193109338655,0.7657850689786095,0.8381073373548616,0.9887419938921336,,,,
avg_drawdown,-0.05700267531222872,-0.06102222509215327,-0.07831433940510918,-0.07136177393091742,-0.017224140563588827,,,,
yearly_vol,0.18825727965476838,0.5494247212547979,0.4067100345587493,0.3961670269933918,0.12240124651758928,,,,
calmar,0.3075758273722034,0.7439241594198782,0.4385395021832742,0.49746078380366576,0.32370904273336315,,,,
1,,,,,,NFLX,0.0000000001,0.0078638949,0.0097126587
2,,,,,,NVDA,0.0000000001,0.0073356383,0.0094966725
3,,,,,,BABA,0.0000000000,0.0174189094,0.0220086524
4,,,,,,BIDU,0.2103343487,0.1589762814,0.0283642147
5,,,,,,TWTR,0.0000000000,0.1159452108,0.1310160296
6,,,,,,TSLA,0.0000000000,0.0077248567,0.0085653124
7,,,,,,AAPL,0.0000000000,0.0376043941,0.0466423565
8,,,,,,AMZN,0.0000000002,0.0013429603,0.0016678355
9,,,,,,ENPH,0.0000000000,0.0304293028,0.0338580169
10,,,,,,FB,0.0000000000,0.0212581560,0.0271356114
11,,,,,,GOOG,0.0000000000,0.0033447329,0.0043481856
12,,,,,,FSLR,0.0000000000,0.0878968425,0.0871832457
13,,,,,,SEDG,0.0000000000,0.0154208311,0.0181525773
14,,,,,,MSFT,0.0000000000,0.0203284916,0.0242037686
15,,,,,,BRK-B,0.0000000017,0.0373647378,0.0434593193
16,,,,,,JNJ,0.3456497101,0.0576824727,0.0687904291
17,,,,,,JPM,0.0000000000,0.0501790340,0.0574152669
18,,,,,,HD,0.0000000000,0.0207347906,0.0256298042
19,,,,,,MA,0.0000000000,0.0134091496,0.0155233110
20,,,,,,PYPL,0.0000000000,0.0198031765,0.0251765403
21,,,,,,CRM,0.0000000000,0.0212851229,0.0260285529
22,,,,,,ADBE,0.0000000000,0.0087718490,0.0107906625
23,,,,,,DIS,0.3692802872,0.0643487605,0.0674646368
24,,,,,,CMCSA,0.0747356525,0.1735304036,0.2073663390
