,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB",0.787700283,-0.044803683,0.492339734
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG",0.793970136,-0.04426598,0.48306405
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FSLR",0.82200218,-0.048432135,0.509719651
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,SEDG",0.890299254,-0.048764822,0.544266079
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,AXP",0.771644796,-0.044936202,0.483762382
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,BEN",0.779667214,-0.051577028,0.482078116
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,ALXN",0.80182906,-0.049995328,0.489567997
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,AMGN",0.776672588,-0.045264528,0.482154318
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,ETN",0.784054235,-0.044571421,0.485903998
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,FB,GOOG",0.574103868,-0.03922686,0.35959981
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,FB,FSLR",0.602135912,-0.043393015,0.386255411
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,FB,SEDG",0.670432987,-0.044247445,0.420801839
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,FB,AXP",0.551778528,-0.039897082,0.360298141
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,FB,BEN",0.559800946,-0.046537908,0.358613876
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,FB,ALXN",0.581962793,-0.044956208,0.366103757
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,FB,AMGN",0.55680632,-0.040225408,0.358690078
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,FB,ETN",0.564187968,-0.039532301,0.362439758
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,GOOG,FSLR",0.608405765,-0.042855312,0.376979727
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,GOOG,SEDG",0.676702839,-0.043738684,0.411526155
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,GOOG,AXP",0.558048381,-0.039359379,0.351022457
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,GOOG,BEN",0.566070799,-0.046000205,0.349338192
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,GOOG,ALXN",0.588232645,-0.044418505,0.356828073
