,Ticker,one_year,avg_drawdown,yearly_vol,Ticker total
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.309488017,-0.040066481,0.200345236,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.291595927,-0.042242315,0.207678499,21
Equal-weighted,"NFLX,BABA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.293078516,-0.039933426,0.208655976,21
Equal-weighted,"NFLX,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.334579155,-0.041990262,0.208824831,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.317033682,-0.042622321,0.208966285,21
Equal-weighted,"NFLX,BABA,BIDU,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.309829006,-0.037367126,0.211930161,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,AMZN,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.333235484,-0.042501817,0.212377487,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.323076152,-0.042692606,0.213886916,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,DIS,CMCSA",0.33110029,-0.043065286,0.21443231,21
Equal-weighted,"BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.323897082,-0.04205335,0.214963134,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.343186975,-0.043034432,0.215378798,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,ADBE,DIS,CMCSA",0.334171385,-0.042623409,0.216095557,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.341868129,-0.042825795,0.216350273,21
