!ModelVer:100
!ReleaseDateTime:20160301 19:05:37
!Model|ModelVer|Factor|FactorDisplayName|FactorGroup|FactorNum|StartDate|EndDate
GEM3L|100|GEM3L_BETA|GEM Beta|1-Risk Indices|1|19961231|20751231
GEM3L|100|GEM3L_MOMENTUM|GEM Momentum|1-Risk Indices|2|19961231|20751231
GEM3L|100|GEM3L_SIZE|GEM Size|1-Risk Indices|3|19961231|20751231
GEM3L|100|GEM3L_EARNYILD|GEM Earnings Yield|1-Risk Indices|4|19961231|20751231
GEM3L|100|GEM3L_RESVOL|GEM Residual Volatility|1-Risk Indices|5|19961231|20751231
GEM3L|100|GEM3L_GROWTH|GEM Growth|1-Risk Indices|6|19961231|20751231
GEM3L|100|GEM3L_DIVYILD|GEM Dividend Yield|1-Risk Indices|7|19961231|20751231
GEM3L|100|GEM3L_BTOP|GEM Book-to-Price|1-Risk Indices|8|19961231|20751231
GEM3L|100|GEM3L_LEVERAGE|GEM Leverage|1-Risk Indices|9|19961231|20751231
GEM3L|100|GEM3L_LIQUIDTY|GEM Liquidity|1-Risk Indices|10|19961231|20751231
GEM3L|100|GEM3L_SIZENL|GEM Non-linear Size|1-Risk Indices|11|19961231|20751231
GEM3L|100|GEM3L_ENERGY|GEM Energy Equipment and Services|2-Industries|12|19961231|20751231
GEM3L|100|GEM3L_OILGAS|GEM Oil Gas and Consumable Fuels|2-Industries|13|19961231|20751231
GEM3L|100|GEM3L_OILEXPL|GEM Oil and Gas Exploration and Production|2-Industries|14|19961231|20751231
GEM3L|100|GEM3L_CHEMICAL|GEM Chemicals|2-Industries|15|19961231|20751231
GEM3L|100|GEM3L_CONSTPP|GEM Construction Containers Paper|2-Industries|16|19961231|20751231
GEM3L|100|GEM3L_DIVMETAL|GEM Aluminum Diversified Metals|2-Industries|17|19961231|20751231
GEM3L|100|GEM3L_PRECMETL|GEM Gold and Precious Metals|2-Industries|18|19961231|20751231
GEM3L|100|GEM3L_STEEL|GEM Steel|2-Industries|19|19961231|20751231
GEM3L|100|GEM3L_CAPGOODS|GEM Capital Goods|2-Industries|20|19961231|20751231
GEM3L|100|GEM3L_COMMSVCS|GEM Commercial and Professional Services|2-Industries|21|19961231|20751231
GEM3L|100|GEM3L_TRANSPRT|GEM Transportation Non-Airline|2-Industries|22|19961231|20751231
GEM3L|100|GEM3L_AIRLINES|GEM Airlines|2-Industries|23|19961231|20751231
GEM3L|100|GEM3L_AUTOCOMP|GEM Automobiles and Components|2-Industries|24|19961231|20751231
GEM3L|100|GEM3L_CONSDUR|GEM Consumer Durables and Apparel|2-Industries|25|19961231|20751231
GEM3L|100|GEM3L_CONSVCS|GEM Hotels Restaurants and Leisure|2-Industries|26|19961231|20751231
GEM3L|100|GEM3L_MEDIA|GEM Media|2-Industries|27|19961231|20751231
GEM3L|100|GEM3L_RETAIL|GEM Retailing|2-Industries|28|19961231|20751231
GEM3L|100|GEM3L_FOODRETL|GEM Food and Staples Retailing|2-Industries|29|19961231|20751231
GEM3L|100|GEM3L_FOODPRD|GEM Food Beverage and Tobacco|2-Industries|30|19961231|20751231
GEM3L|100|GEM3L_HSHLDPRD|GEM Household and Personal Products|2-Industries|31|19961231|20751231
GEM3L|100|GEM3L_HEALTH|GEM Health Care Equipment and Services|2-Industries|32|19961231|20751231
GEM3L|100|GEM3L_BIOTECH|GEM Biotechnology|2-Industries|33|19961231|20751231
GEM3L|100|GEM3L_PHARMAC|GEM Pharmaceuticals and Life Sciences|2-Industries|34|19961231|20751231
GEM3L|100|GEM3L_BANKS|GEM Banks|2-Industries|35|19961231|20751231
GEM3L|100|GEM3L_DIVFINAN|GEM Diversified Financials|2-Industries|36|19961231|20751231
GEM3L|100|GEM3L_INSURAN|GEM Insurance|2-Industries|37|19961231|20751231
GEM3L|100|GEM3L_REALEST|GEM Real Estate|2-Industries|38|19961231|20751231
GEM3L|100|GEM3L_INTERNET|GEM Internet Software and Services|2-Industries|39|19961231|20751231
GEM3L|100|GEM3L_SOFTWARE|GEM IT Services and Software|2-Industries|40|19961231|20751231
GEM3L|100|GEM3L_COMMUNIC|GEM Communications Equipment|2-Industries|41|19961231|20751231
GEM3L|100|GEM3L_COMPUTER|GEM Computers Electronics|2-Industries|42|19961231|20751231
GEM3L|100|GEM3L_SEMICOND|GEM Semiconductors|2-Industries|43|19961231|20751231
GEM3L|100|GEM3L_TELECOM|GEM Telecommunication Services|2-Industries|44|19961231|20751231
GEM3L|100|GEM3L_UTILITY|GEM Utilities|2-Industries|45|19961231|20751231
GEM3L|100|GEM3L_ARG|GEM Argentina Mkt|3-Countries|46|19961231|20751231
GEM3L|100|GEM3L_AUS|GEM Australia Mkt|3-Countries|47|19961231|20751231
GEM3L|100|GEM3L_AUT|GEM Austria Mkt|3-Countries|48|19961231|20751231
GEM3L|100|GEM3L_BEL|GEM Belgium Mkt|3-Countries|49|19961231|20751231
GEM3L|100|GEM3L_BRA|GEM Brazil Mkt|3-Countries|50|19961231|20751231
GEM3L|100|GEM3L_CAN|GEM Canada Mkt|3-Countries|51|19961231|20751231
GEM3L|100|GEM3L_CHL|GEM Chile Mkt|3-Countries|52|19961231|20751231
GEM3L|100|GEM3L_CHN|GEM China Domestic Mkt|3-Countries|53|19961231|20751231
GEM3L|100|GEM3L_CHX|GEM China International Mkt|3-Countries|54|19961231|20751231
GEM3L|100|GEM3L_COL|GEM Colombia Mkt|3-Countries|55|19961231|20751231
GEM3L|100|GEM3L_CZE|GEM Czech Republic Mkt|3-Countries|56|19961231|20751231
GEM3L|100|GEM3L_DNK|GEM Denmark Mkt|3-Countries|57|19961231|20751231
GEM3L|100|GEM3L_EGY|GEM Egypt Mkt|3-Countries|58|19961231|20751231
GEM3L|100|GEM3L_FIN|GEM Finland Mkt|3-Countries|59|19961231|20751231
GEM3L|100|GEM3L_FRA|GEM France Mkt|3-Countries|60|19961231|20751231
GEM3L|100|GEM3L_DEU|GEM Germany Mkt|3-Countries|61|19961231|20751231
GEM3L|100|GEM3L_GRC|GEM Greece Mkt|3-Countries|62|19961231|20751231
GEM3L|100|GEM3L_HKG|GEM Hong Kong Mkt|3-Countries|63|19961231|20751231
GEM3L|100|GEM3L_HUN|GEM Hungary Mkt|3-Countries|64|19961231|20751231
GEM3L|100|GEM3L_IND|GEM India Mkt|3-Countries|65|19961231|20751231
GEM3L|100|GEM3L_IDN|GEM Indonesia Mkt|3-Countries|66|19961231|20751231
GEM3L|100|GEM3L_IRL|GEM Ireland Mkt|3-Countries|67|19961231|20751231
GEM3L|100|GEM3L_ISR|GEM Israel Mkt|3-Countries|68|19961231|20751231
GEM3L|100|GEM3L_ITA|GEM Italy Mkt|3-Countries|69|19961231|20751231
GEM3L|100|GEM3L_JPN|GEM Japan Mkt|3-Countries|70|19961231|20751231
GEM3L|100|GEM3L_JOR|GEM Jordan Mkt|3-Countries|71|19961231|20751231
GEM3L|100|GEM3L_KOR|GEM Korea Mkt|3-Countries|72|19961231|20751231
GEM3L|100|GEM3L_MYS|GEM Malaysia Mkt|3-Countries|73|19961231|20751231
GEM3L|100|GEM3L_MEX|GEM Mexico Mkt|3-Countries|74|19961231|20751231
GEM3L|100|GEM3L_NLD|GEM Netherlands Mkt|3-Countries|75|19961231|20751231
GEM3L|100|GEM3L_NZL|GEM New Zealand Mkt|3-Countries|76|19961231|20751231
GEM3L|100|GEM3L_NOR|GEM Norway Mkt|3-Countries|77|19961231|20751231
GEM3L|100|GEM3L_PAK|GEM Pakistan Mkt|3-Countries|78|19961231|20751231
GEM3L|100|GEM3L_PHL|GEM Philippines Mkt|3-Countries|79|19961231|20751231
GEM3L|100|GEM3L_POL|GEM Poland Mkt|3-Countries|80|19961231|20751231
GEM3L|100|GEM3L_PRT|GEM Portugal Mkt|3-Countries|81|19961231|20751231
GEM3L|100|GEM3L_RUS|GEM Russia Mkt|3-Countries|82|19961231|20751231
GEM3L|100|GEM3L_SGP|GEM Singapore Mkt|3-Countries|83|19961231|20751231
GEM3L|100|GEM3L_ZAF|GEM South Africa Mkt|3-Countries|84|19961231|20751231
GEM3L|100|GEM3L_ESP|GEM Spain Mkt|3-Countries|85|19961231|20751231
GEM3L|100|GEM3L_LKA|GEM Sri Lanka Mkt|3-Countries|86|19961231|20751231
