!Factor Exposure for Asset 0[68]:
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000

!Factor Exposure for Asset 1[68]:
  1.440000e-001 -6.660000e-001  1.646000e+000  2.100000e-001 -3.610000e-001
 -6.470000e-001 -1.930000e-001 -7.100000e-001 -4.810000e-001 -1.132000e+000
 -5.110000e-001 -1.450000e-001  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  1.000000e-002  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  9.500000e-001  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  4.000000e-002  0.000000e+000  0.000000e+000

!Factor Exposure for Asset 2[68]:
 -6.000000e-003 -1.970000e-001  7.120000e-001  1.500000e-001 -8.150000e-001
  6.510000e-001 -9.800000e-001  7.360000e-001  4.740000e-001  1.990000e-001
  6.840000e-001 -1.040000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  9.800000e-001  0.000000e+000
  0.000000e+000  2.000000e-002  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000
