Date,Summary,MarketName,Period,ProfitAndLoss,Transaction type,Reference,Open level,Close level,Size,Currency,PL Amount,Cash transaction,DateUtc,OpenDateUtc,CurrencyIsoCode
10/27/21,Closing trades,EUR/USD,DEC-49,$-5.40,DEAL,LA2K4NAV,1.16038,1.16047,-0.60,$,-5.40,false,2021-10-28T02:35:13,2021-10-28T02:31:18,
10/27/21,Closing trades,EUR/USD,DEC-49,$48.60,DEAL,LAU7Z5AV,1.15957,1.16038,+0.60,$,48.60,false,2021-10-28T02:30:49,2021-10-28T01:42:33,
10/27/21,Closing trades,USD/JPY converted at 0.008821422803639999,DEC-49,$-39.70,DEAL,K4MW3JAV,113.99,113.915,+0.60,$,-39.70,false,2021-10-27T07:28:45,2021-10-27T07:15:37,
10/25/21,Closing trades,EUR/CAD converted at 0.8046776437101999,DEC-49,$75.64,DEAL,KMBVVZAV,1.43922,1.43734,-0.50,$,75.64,false,2021-10-25T10:04:13,2021-10-24T21:01:32,
10/22/21,Closing trades,USD/JPY converted at 0.00873497770368,DEC-49,$104.82,DEAL,KD8MWEA7,114.112,113.912,-0.60,$,104.82,false,2021-10-22T09:37:38,2021-10-22T00:58:14,
10/20/21,Closing trades,EUR/USD,DEC-49,$78.00,DEAL,J478F6A7,1.16481,1.16637,+0.50,$,78.00,false,2021-10-21T03:18:58,2021-10-20T14:28:53,
10/20/21,FX Interest,Daily FX Interest for 3 day EUR/USD,-,$-4.70,WITH,41354200,-,0,-,$,-4.70,false,2021-10-21T01:15:17,2021-10-21T01:15:17,
10/20/21,Closing trades,EUR/USD,DEC-49,$-82.20,DEAL,JZSL8WA7,1.16444,1.1617,+0.30,$,-82.20,false,2021-10-20T07:40:23,2021-10-20T04:00:14,
10/19/21,Closing trades,USD/CAD converted at 0.80500901691024,DEC-49,$7.49,DEAL,JYT3EPA7,1.23647,1.23616,-0.30,$,7.49,false,2021-10-20T02:41:23,2021-10-19T22:26:09,
10/19/21,Closing trades,USD/JPY converted at 0.008792050935945,DEC-49,$-17.41,DEAL,JWYZPMA7,114.249,114.315,-0.30,$,-17.41,false,2021-10-19T19:51:20,2021-10-19T14:35:10,
10/19/21,Closing trades,GBP/EUR converted at 1.17076269,DEC-49,$-4.39,DEAL,JTGDRQA7,1.18266,1.18241,+0.15,$,-4.39,false,2021-10-19T07:05:54,2021-10-19T05:36:22,
10/19/21,Closing trades,USD/JPY converted at 0.00872679177699,DEC-49,$42.41,DEAL,JSZBNAA7,114.182,114.02,-0.30,$,42.41,false,2021-10-19T06:30:45,2021-10-19T01:54:20,
10/18/21,Closing trades,EUR/USD,DEC-49,$1.80,DEAL,JSTTNUA7,1.16262,1.16268,+0.30,$,1.80,false,2021-10-19T01:17:44,2021-10-19T01:08:28,
10/18/21,FX Interest,Daily FX Interest for 1 day EUR/USD,-,$-0.03,WITH,24169202,-,0,-,$,-0.03,false,2021-10-19T00:47:45,2021-10-19T00:47:45,
10/18/21,Closing trades,EUR/USD,DEC-49,$0.60,DEAL,JRFXEFA7,1.16202,1.162,-0.30,$,0.60,false,2021-10-19T00:20:14,2021-10-18T17:03:24,
10/18/21,Closing trades,AUD/USD,DEC-49,$1.50,DEAL,JQ5GHLA7,0.74128,0.74133,+0.30,$,1.50,false,2021-10-18T16:49:17,2021-10-18T15:48:58,
10/18/21,Closing trades,USD/JPY converted at 0.008704880069075,DEC-49,$3.66,DEAL,JLVXWEA7,114.329,114.315,-0.30,$,3.66,false,2021-10-18T06:47:36,2021-10-18T05:09:01,
10/18/21,Closing trades,USD/JPY converted at 0.00878779571871,DEC-49,$-7.12,DEAL,JLVE9PA7,114.341,114.368,-0.30,$,-7.12,false,2021-10-18T05:06:12,2021-10-18T04:58:58,
10/17/21,Closing trades,USD/JPY converted at 0.008714501543954999,DEC-49,$26.40,DEAL,JK2UXQA7,114.293,114.192,-0.30,$,26.40,false,2021-10-18T03:04:48,2021-10-18T00:01:58,
10/16/21,Cash In,Card payment ****8506,-,"$1,500.00",DEPO,02119312,-,0,-,$,"1,500.00",false,2021-10-17T04:07:30,2021-10-17T04:07:30,
10/14/21,Cash In,Card payment ****8506,-,$1.00,DEPO,11546292,-,0,-,$,1.00,false,2021-10-14T15:16:16,2021-10-14T15:16:16,
