,Mean-Variance,Equally_weighted,Equally_Risk_contribution,Inverse_Volatility,S&P 500,,Holdings,Mean Variance weighted,Equally-Risk contribution weighted,Inverse_weights
start,3/26/2015 0:00,3/26/2015 0:00,3/26/2015 0:00,3/26/2015 0:00,2/20/2015 0:00,,NFLX,0,0.006921963,0.010566553
end,2/19/2021 0:00,2/19/2021 0:00,2/19/2021 0:00,2/19/2021 0:00,2/19/2021 0:00,,NVDA,0,0.006137999,0.010333953
Annual_return,0.293930307,0.774372805,0.439473235,0.515234235,0.155258921,,BABA,1E-10,0.015565296,0.024153394
yearly_sharpe,0.231204534,0.69771737,0.29801096,0.472141666,0.974402216,,BIDU,0.064888022,0.051790624,0.031591513
avg_drawdown,-0.119713497,-0.082322407,-0.130526634,-0.118462391,-0.017104229,,TWTR,1E-10,0.080393952,0.13939861
yearly_vol,0.198850318,0.660132973,0.327005378,0.416373522,0.12315745,,TSLA,0,0.005327053,0.009457433
calmar,0.070952181,0.556588879,0.103004262,0.205869266,0.319432665,,AAPL,1E-10,0.03028385,0.051856433
,,,,,,,AMZN,0,0.001182802,0.001808633
,,,,,,,ENPH,0,0.021541526,0.037525777
,,,,,,,FB,1E-10,0.018584452,0.028735419
,,,,,,,GOOG,0,0.002887009,0.00456438
,,,,,,,FSLR,1E-10,0.057603788,0.097985304
,,,,,,,SEDG,0,0.011624454,0.020194861
,,,,,,,AXP,0.057756929,0.050945364,0.069565756
,,,,,,,BEN,0.335066157,0.395342633,0.274839535
,,,,,,,ALXN,0.294556265,0.165616348,0.062165968
,,,,,,,AMGN,0.247732627,0.03021901,0.041908131
,,,,,,,ETN,1E-10,0.048031878,0.083348349
