,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,AXP,-0.002594649346140421,-0.009645910371410809,0.03377563563324489
Equal-weighted,BEN,0.026286056660837522,-0.03355288489500379,0.02771227967858076
Equal-weighted,ALXN,0.10606870322124196,-0.027858764852729364,0.05467585048056836
Equal-weighted,AMGN,0.015505403065460267,-0.010827882227185148,0.02798660839667383
Equal-weighted,ETN,0.04207933377443385,-0.00833269809719103,0.04148545427404424
Equal-weighted,"AXP,BEN",0.0236914073146971,-0.0431987952664146,0.06148791531182565
Equal-weighted,"AXP,ALXN",0.10347405387510153,-0.03750467522414017,0.08845148611381326
Equal-weighted,"AXP,AMGN",0.012910753719319846,-0.020473792598595955,0.06176224402991872
Equal-weighted,"AXP,ETN",0.03948468442829343,-0.017978608468601838,0.07526108990728914
Equal-weighted,"BEN,ALXN",0.13235475988207948,-0.06141164974773315,0.08238813015914911
Equal-weighted,"BEN,AMGN",0.04179145972629779,-0.04438076712218894,0.05569888807525459
Equal-weighted,"BEN,ETN",0.06836539043527137,-0.041885582992194824,0.06919773395262499
Equal-weighted,"ALXN,AMGN",0.12157410628670222,-0.03868664707991451,0.08266245887724219
Equal-weighted,"ALXN,ETN",0.1481480369956758,-0.03619146294992039,0.0961613047546126
Equal-weighted,"AMGN,ETN",0.05758473683989411,-0.01916058032437618,0.06947206267071807
Equal-weighted,"AXP,BEN,ALXN",0.12976011053593905,-0.07105756011914396,0.11616376579239401
Equal-weighted,"AXP,BEN,AMGN",0.03919681038015736,-0.054026677493599747,0.08947452370849948
Equal-weighted,"AXP,BEN,ETN",0.06577074108913095,-0.05153149336360563,0.10297336958586989
Equal-weighted,"AXP,ALXN,AMGN",0.11897945694056179,-0.04833255745132532,0.11643809451048709
Equal-weighted,"AXP,ALXN,ETN",0.14555338764953538,-0.045837373321331205,0.1299369403878575
Equal-weighted,"AXP,AMGN,ETN",0.05499008749375369,-0.028806490695786988,0.10324769830396296
Equal-weighted,"BEN,ALXN,AMGN",0.14786016294753976,-0.0722395319749183,0.11037473855582294
Equal-weighted,"BEN,ALXN,ETN",0.17443409365651333,-0.06974434784492418,0.12387358443319335
Equal-weighted,"BEN,AMGN,ETN",0.08387079350073164,-0.052713465219379974,0.09718434234929882
Equal-weighted,"ALXN,AMGN,ETN",0.16365344006113608,-0.04701934517710554,0.12414791315128643
Equal-weighted,"AXP,BEN,ALXN,AMGN",0.14526551360139933,-0.08188544234632911,0.14415037418906784
Equal-weighted,"AXP,BEN,ALXN,ETN",0.1718394443103729,-0.079390258216335,0.15764922006643825
Equal-weighted,"AXP,BEN,AMGN,ETN",0.08127614415459121,-0.06235937559079078,0.13095997798254372
Equal-weighted,"AXP,ALXN,AMGN,ETN",0.16105879071499563,-0.056665255548516355,0.15792354878453133
Equal-weighted,"BEN,ALXN,AMGN,ETN",0.1899394967219736,-0.08057223007210933,0.15186019282986718
Equal-weighted,"AXP,BEN,ALXN,AMGN,ETN",0.18734484737583318,-0.09021814044352014,0.18563582846311208
