,Ticker,one_year,avg_drawdown,yearly_vol,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.35259651,-0.08286851,0.839421321,0
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.334051121,-0.078423189,0.807449047,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.331363777,-0.079293204,0.814554358,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.322682443,-0.079997642,0.827397613,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.312818388,-0.074847882,0.782582083,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.312686973,-0.078950761,0.819725653,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.311045114,-0.079834209,0.817573217,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.304137054,-0.075552321,0.795425338,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FSLR,SEDG",1.301449711,-0.076422336,0.80253065,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.298960174,-0.079674538,0.807731954,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.294141583,-0.07450544,0.787753378,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.292499725,-0.075388888,0.785600942,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.29145424,-0.075375454,0.794858689,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,FSLR,SEDG",1.289812381,-0.076258903,0.792706253,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.284550822,-0.06498894,0.813659706,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,SEDG",1.283868844,-0.073966697,0.790489858,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FSLR,SEDG",1.282904321,-0.071977015,0.770558375,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.282772906,-0.076079893,0.807701944,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,FSLR,SEDG",1.281131047,-0.076963341,0.805549508,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.280414785,-0.075229217,0.775759679,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,FSLR,SEDG",1.277727442,-0.076099232,0.782864991,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.272908851,-0.070930133,0.762886414,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,FSLR,SEDG",1.271266992,-0.071813581,0.760733979,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.271135577,-0.07591646,0.797877548,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,FSLR,SEDG",1.269046107,-0.07680367,0.795708245,
Equal-weighted,"NFLX,NVDA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.266005432,-0.060543619,0.781687431,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,SEDG",1.265323454,-0.069521375,0.758517583,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.264227516,-0.071634572,0.775729669,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.263318089,-0.061413633,0.788792743,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,SEDG",1.262636111,-0.07039139,0.765622894,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,FSLR,SEDG",1.262585658,-0.07251802,0.773577233,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FSLR,SEDG",1.261540173,-0.072504587,0.782834981,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FSLR,SEDG",1.259898315,-0.073388035,0.780682545,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,FSLR,SEDG",1.259182052,-0.07165391,0.750892716,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.259050637,-0.075756789,0.788036285,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,ENPH,FB,GOOG,FSLR,SEDG",1.257408778,-0.076640237,0.785883849,
Equal-weighted,"NFLX,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.25648304,-0.078592535,0.770500748,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.254636755,-0.062118072,0.801635997,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,SEDG",1.253954777,-0.071095829,0.778466149,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.252590187,-0.071471138,0.765905273,
Equal-weighted,"NFLX,NVDA,BABA,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.251049842,-0.075098985,0.807111337,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,FSLR,SEDG",1.250500718,-0.072358349,0.763735971,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,FSLR,SEDG",1.249902844,-0.072341153,0.773010585,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FSLR,SEDG",1.247813375,-0.073228364,0.770841282,
Equal-weighted,"NFLX,NVDA,BIDU,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.2447727,-0.056968312,0.756820468,
Equal-weighted,"NVDA,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.244641285,-0.061071191,0.793964037,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,SEDG",1.244090721,-0.065946069,0.733650619,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,SEDG",1.243959306,-0.070048947,0.770794189,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.242999426,-0.061954639,0.791811601,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FSLR,SEDG",1.242994784,-0.068059266,0.750862706,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,GOOG,SEDG",1.242317448,-0.070932395,0.768641753,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,FSLR,SEDG",1.241352925,-0.068942714,0.74871027,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,FSLR,SEDG",1.24122151,-0.073045592,0.785853839,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.240505248,-0.071311468,0.75606401,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,ENPH,FB,GOOG,FSLR,SEDG",1.238863389,-0.072194916,0.753911574,
Equal-weighted,"NFLX,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.23793765,-0.074147213,0.738528473,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,FSLR,SEDG",1.237817904,-0.072181482,0.763169322,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,ENPH,GOOG,FSLR,SEDG",1.236176046,-0.073064931,0.761016886,
Equal-weighted,"NFLX,NVDA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.236091365,-0.057672751,0.769663722,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,SEDG",1.235409387,-0.066650508,0.746493874,
Equal-weighted,"NFLX,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.235250307,-0.075017228,0.745633785,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,FSLR,SEDG",1.233404022,-0.058542766,0.776769034,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,SEDG",1.232722044,-0.067520523,0.753599186,
Equal-weighted,"NFLX,NVDA,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.232504453,-0.070653664,0.775139062,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,FSLR,SEDG",1.231357455,-0.067895832,0.74103831,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.230914486,-0.061794968,0.781970338,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,GOOG,SEDG",1.230232508,-0.070772725,0.75880049,
Equal-weighted,"NFLX,NVDA,BABA,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.22981711,-0.071523679,0.782244374,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AMZN,ENPH,FSLR,SEDG",1.229267985,-0.068783043,0.738869007,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,FSLR,SEDG",1.22913657,-0.072885921,0.776012577,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,ENPH,FB,FSLR,SEDG",1.227494711,-0.073769369,0.773860141,
Equal-weighted,"NFLX,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.226568973,-0.075721667,0.75847704,
Equal-weighted,"NVDA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.226095895,-0.056625869,0.761991762,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,SEDG",1.225413917,-0.065603626,0.738821914,
Equal-weighted,"NFLX,NVDA,BIDU,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.224454036,-0.057509317,0.759839326,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,GOOG,SEDG",1.223772058,-0.066487074,0.736669478,
Equal-weighted,"NVDA,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.223408552,-0.057495884,0.769097074,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,SEDG",1.222726574,-0.066473641,0.745927226,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,FSLR,SEDG",1.22267612,-0.068600271,0.753881565,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AAPL,ENPH,GOOG,FSLR,SEDG",1.221766693,-0.058379332,0.766944638,
Equal-weighted,"NFLX,NVDA,BABA,TWTR,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.221135775,-0.072228118,0.795087628,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,SEDG",1.221084715,-0.067357089,0.74377479,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FSLR,SEDG",1.219988777,-0.069470286,0.760986876,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,FSLR,SEDG",1.219272515,-0.067736161,0.731197047,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,ENPH,GOOG,FSLR,SEDG",1.217630656,-0.068619609,0.729044611,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,ENPH,FB,GOOG,FSLR,SEDG",1.217499241,-0.072722488,0.76618818,
Equal-weighted,"NFLX,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.216704918,-0.070571907,0.71366151,
Equal-weighted,"BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.216573503,-0.074674786,0.75080508,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,GOOG,SEDG",1.215823155,-0.056087126,0.764728242,
Equal-weighted,"NFLX,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.214931644,-0.075558234,0.748652644,
Equal-weighted,"NFLX,NVDA,BIDU,TSLA,AAPL,AMZN,ENPH,FSLR,SEDG",1.214858633,-0.054097445,0.744796759,
Equal-weighted,"NVDA,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.214727218,-0.058200323,0.781940329,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,SEDG",1.214176655,-0.063075201,0.721626911,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,SEDG",1.21404524,-0.06717808,0.75877048,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AAPL,ENPH,FB,FSLR,SEDG",1.213085359,-0.059083771,0.779787893,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,SEDG",1.212403381,-0.068061528,0.756618044,
Equal-weighted,"NFLX,NVDA,BIDU,TSLA,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.212369096,-0.057349647,0.749998063,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,GOOG,SEDG",1.211687118,-0.066327403,0.726828215,
Equal-weighted,"NFLX,NVDA,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.21127172,-0.067078358,0.750272099,
Equal-weighted,"NVDA,BABA,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.211140305,-0.071181236,0.787415668,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,FSLR,SEDG",1.210591181,-0.0684406,0.744040302,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AMZN,ENPH,GOOG,FSLR,SEDG",1.209681753,-0.058219661,0.757103375,
Equal-weighted,"NFLX,NVDA,BABA,TWTR,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.209498446,-0.072064684,0.785263232,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,SEDG",1.208999775,-0.067197418,0.733933527,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,ENPH,FB,FSLR,SEDG",1.208949322,-0.069324048,0.741887866,
Equal-weighted,"NFLX,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.208023583,-0.071276346,0.726504765,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FSLR,SEDG",1.207903838,-0.069310615,0.751145613,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,ENPH,FSLR,SEDG",1.206261979,-0.070194063,0.748993177,
Equal-weighted,"NFLX,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FSLR,SEDG",1.20533624,-0.072146361,0.733610077,
Equal-weighted,"NVDA,BIDU,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.204863162,-0.053050563,0.737124799,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,SEDG",1.204181184,-0.06202832,0.713954951,
Equal-weighted,"NFLX,NVDA,BIDU,TSLA,AAPL,ENPH,GOOG,FSLR,SEDG",1.203221304,-0.053934011,0.734972363,
Equal-weighted,"NVDA,BABA,BIDU,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.203089889,-0.058036889,0.772115932,
Equal-weighted,"NFLX,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.202846704,-0.075398563,0.738811381,
Equal-weighted,"NFLX,NVDA,TWTR,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.202590386,-0.067782796,0.763115354,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,SEDG",1.202539325,-0.062911768,0.711802515,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,GOOG,SEDG",1.20240791,-0.067014646,0.748946084,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,FSLR,SEDG",1.201443388,-0.065024964,0.729014601,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AMZN,ENPH,FB,FSLR,SEDG",1.201000419,-0.0589241,0.76994663,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,SEDG",1.200318441,-0.067901857,0.746776782,
Equal-weighted,"NFLX,NVDA,BABA,TWTR,TSLA,AAPL,AMZN,ENPH,FSLR,SEDG",1.199903043,-0.068652811,0.770220665,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,ENPH,FB,GOOG,FSLR,SEDG",1.198953852,-0.068277166,0.734215905,
Equal-weighted,"BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.198028113,-0.070229464,0.718832805,
Equal-weighted,"NFLX,NVDA,BABA,TWTR,TSLA,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.197413506,-0.071905013,0.775421969,
Equal-weighted,"NFLX,NVDA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,GOOG,SEDG",1.197277766,-0.051641805,0.732755967,
Equal-weighted,"NFLX,BIDU,TWTR,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.196386254,-0.071112912,0.716680369,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,ENPH,GOOG,FSLR,SEDG",1.196266508,-0.069147181,0.741321217,
Equal-weighted,"NVDA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.196181828,-0.053755002,0.749968054,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,SEDG",1.19549985,-0.062732758,0.726798205,
Equal-weighted,"BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.19534077,-0.071099479,0.725938116,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,GOOG,SEDG",1.194590423,-0.05251182,0.739861279,
Equal-weighted,"NFLX,NVDA,BIDU,TSLA,AAPL,ENPH,FB,FSLR,SEDG",1.194539969,-0.05463845,0.747815618,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,SEDG",1.193857991,-0.063616207,0.724645769,
Equal-weighted,"NFLX,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,FSLR,SEDG",1.193698911,-0.071982927,0.72378568,
Equal-weighted,"NVDA,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,FSLR,SEDG",1.193494485,-0.054625017,0.757073365,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,SEDG",1.192812507,-0.063602773,0.733903517,
Equal-weighted,"NVDA,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.192594915,-0.066735915,0.755443393,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,AAPL,ENPH,FSLR,SEDG",1.191852626,-0.055508465,0.754920929,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,SEDG",1.191170648,-0.064486222,0.731751081,
Equal-weighted,"NFLX,NVDA,BIDU,TSLA,AMZN,ENPH,GOOG,FSLR,SEDG",1.191136364,-0.05377434,0.7251311,
Equal-weighted,"NVDA,BABA,BIDU,TSLA,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.191004949,-0.057877219,0.762274669,
Equal-weighted,"NFLX,NVDA,TWTR,TSLA,AAPL,ENPH,FB,GOOG,FSLR,SEDG",1.190953057,-0.067619363,0.753290957,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,SEDG",1.190454386,-0.062752097,0.701961252,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,GOOG,SEDG",1.190322971,-0.066854975,0.739104821,
Equal-weighted,"NVDA,BABA,TWTR,TSLA,AAPL,AMZN,ENPH,GOOG,FSLR,SEDG",1.189907572,-0.06760593,0.762548705,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TSLA,ENPH,FB,GOOG,FSLR,SEDG",1.18936309,-0.058760667,0.760122234,
Equal-weighted,"NVDA,BIDU,TWTR,TSLA,AMZN,ENPH,FSLR,SEDG",1.189358448,-0.064865294,0.719173338,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR",1.189303664,-0.073368321,0.742656342,
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,ENPH,FB,GOOG,SEDG",1.188681112,-0.067738424,0.736952385,
Equal-weighted,"NFLX,BABA,BIDU,TSLA,AAPL,AMZN,ENPH,FB,GOOG,FSLR,SEDG",1.188437352,-0.060712965,0.744739133,
Equal-weighted,"NFLX,NVDA,BABA,TWTR,TSLA,AAPL,ENPH,GOOG,FSLR,SEDG",1.188265714,-0.068489378,0.760396269,
Equal-weighted,"NFLX,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,GOOG,SEDG",1.187755373,-0.069690721,0.721569284,
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,TSLA,ENPH,FSLR,SEDG",1.187716589,-0.065748742,0.717020903,
Equal-weighted,"NVDA,BABA,BIDU,TWTR,TSLA,ENPH,FB,FSLR,SEDG",1.187585174,-0.06985162,0.754164472,
Equal-weighted,"NFLX,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FSLR,SEDG",1.186790851,-0.067701039,0.701637802,
Equal-weighted,"BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ENPH,FB,FSLR,SEDG",1.186659436,-0.071803918,0.738781371,
