Date,Open,High,Low,Close,Volume
2010/1/4,428,428,415.5,416,1026000
2010/1/5,419,420,407,408.5,1670000
2010/1/6,410,416.5,407.5,407.5,1728000
2010/1/7,408,411,401,401,1411000
2010/1/8,401,403.5,395.5,397.5,1433000
2010/1/11,399,403,398,399,1197000
2010/1/12,401,404,399.5,402,676000
2010/1/13,401,406,399,400,914000
2010/1/14,403,412,400,410,1811000
2010/1/15,413,422,412,417,3310000
2010/1/18,415,428,414,425,2169000
2010/1/19,425,425,407,407,2428000
2010/1/20,410,416,409.5,413.5,1487000
2010/1/21,413.5,413.5,408,409,805000
2010/1/22,407,407,398.5,403.5,1196000
2010/1/25,401,412,401,408.5,1083000
2010/1/26,406,412.5,390,391,1769000
2010/1/27,393,401.5,388,399.5,1419000
2010/1/28,402,420,402,417,2377000
2010/1/29,412,421,407,417,1495000
2010/2/1,418,422,404,407.5,885000
2010/2/2,412,415.5,402,413,975000
2010/2/3,420,430,417,426,3355000
2010/2/4,426,439.5,426,430,2407000
2010/2/5,418.5,425.5,407,413,2023000
2010/2/8,412,414.5,405,412,1127000
2010/2/9,410,414,405,409,1217000
2010/2/10,411,422,411,414,1041000
2010/2/22,421,421,414.5,419,708000
2010/2/23,419.5,429.5,416,429.5,1036000
2010/2/24,428,428.5,421,421,745000
2010/2/25,423,426.5,418,418.5,912000
2010/2/26,418.5,424,405.5,413.5,994000
2010/3/1,410,424,408,423,817000
2010/3/2,424,427,419,423.5,754000
2010/3/3,424,426,420.5,424,469000
2010/3/4,425,430,421.5,421.5,875000
2010/3/5,423,428,421.5,421.5,628000
2010/3/8,421.5,429,417,429,1695000
2010/3/9,429,430.5,426,427,592000
2010/3/10,429.5,442,429,438,1565000
2010/3/11,442,443,433,434,869000
2010/3/12,437,437,431.5,436,330000
2010/3/15,434,442,432,441.5,769000
2010/3/16,442,445,438.5,445,888000
2010/3/17,448,449,438,442,931000
2010/3/18,442,454.5,440.5,450,1523000
2010/3/19,450,454,445,449,463000
2010/3/22,449,449,443,445.5,256000
2010/3/23,445.5,448.5,439,446,868000
2010/3/24,446,448,441.5,442,350000
